"country","year","age","value"
"sweden",1950,15,37.966
"sweden",1950,16,53.3133142857143
"sweden",1950,17,68.6606285714286
"sweden",1950,18,84.0079428571429
"sweden",1950,19,99.3552571428571
"sweden",1950,20,114.702571428571
"sweden",1950,21,127.5054
"sweden",1950,22,127.5858
"sweden",1950,23,127.6662
"sweden",1950,24,127.7466
"sweden",1950,25,127.827
"sweden",1950,26,127.9074
"sweden",1950,27,125.659628571429
"sweden",1950,28,118.755514285714
"sweden",1950,29,111.8514
"sweden",1950,30,104.947285714286
"sweden",1950,31,98.0431714285714
"sweden",1950,32,91.1390571428572
"sweden",1950,33,84.3444857142857
"sweden",1950,34,77.6594571428571
"sweden",1950,35,70.9744285714286
"sweden",1950,36,64.2894
"sweden",1950,37,57.6043714285714
"sweden",1950,38,50.9193428571429
"sweden",1950,39,44.9897428571429
"sweden",1950,40,39.4378571428571
"sweden",1950,41,33.8859714285714
"sweden",1950,42,28.3340857142857
"sweden",1950,43,22.7822
"sweden",1950,44,17.2303142857143
"sweden",1950,45,14.1668571428571
"sweden",1950,46,11.6010857142857
"sweden",1950,47,9.03531428571429
"sweden",1950,48,6.46954285714285
"sweden",1950,49,3.90377142857143
"sweden",1950,50,1.338
"sweden",1951,15,37.8007
"sweden",1951,16,53.3603937142857
"sweden",1951,17,68.9200874285714
"sweden",1951,18,84.4797811428571
"sweden",1951,19,100.039474857143
"sweden",1951,20,115.599168571429
"sweden",1951,21,128.595159238095
"sweden",1951,22,128.772634666667
"sweden",1951,23,128.950110095238
"sweden",1951,24,129.12758552381
"sweden",1951,25,129.305060952381
"sweden",1951,26,129.482536380952
"sweden",1951,27,127.183526095238
"sweden",1951,28,119.931544380952
"sweden",1951,29,112.679562666667
"sweden",1951,30,105.427580952381
"sweden",1951,31,98.1755992380952
"sweden",1951,32,90.9236175238095
"sweden",1951,33,83.8940135238095
"sweden",1951,34,77.0867872380952
"sweden",1951,35,70.2795609523809
"sweden",1951,36,63.4723346666667
"sweden",1951,37,56.6651083809524
"sweden",1951,38,49.8578820952381
"sweden",1951,39,43.9437819047619
"sweden",1951,40,38.4762447619048
"sweden",1951,41,33.0087076190476
"sweden",1951,42,27.5411704761905
"sweden",1951,43,22.0736333333333
"sweden",1951,44,16.6060961904762
"sweden",1951,45,13.6342238095238
"sweden",1951,46,11.1614843809524
"sweden",1951,47,8.68874495238095
"sweden",1951,48,6.21600552380952
"sweden",1951,49,3.7432660952381
"sweden",1951,50,1.27052666666667
"sweden",1952,15,37.6354
"sweden",1952,16,53.4074731428571
"sweden",1952,17,69.1795462857143
"sweden",1952,18,84.9516194285714
"sweden",1952,19,100.723692571429
"sweden",1952,20,116.495765714286
"sweden",1952,21,129.68491847619
"sweden",1952,22,129.959469333333
"sweden",1952,23,130.234020190476
"sweden",1952,24,130.508571047619
"sweden",1952,25,130.783121904762
"sweden",1952,26,131.057672761905
"sweden",1952,27,128.707423619048
"sweden",1952,28,121.10757447619
"sweden",1952,29,113.507725333333
"sweden",1952,30,105.907876190476
"sweden",1952,31,98.308027047619
"sweden",1952,32,90.7081779047619
"sweden",1952,33,83.4435413333333
"sweden",1952,34,76.5141173333333
"sweden",1952,35,69.5846933333333
"sweden",1952,36,62.6552693333334
"sweden",1952,37,55.7258453333333
"sweden",1952,38,48.7964213333333
"sweden",1952,39,42.897820952381
"sweden",1952,40,37.5146323809524
"sweden",1952,41,32.1314438095238
"sweden",1952,42,26.7482552380952
"sweden",1952,43,21.3650666666667
"sweden",1952,44,15.9818780952381
"sweden",1952,45,13.1015904761905
"sweden",1952,46,10.7218830476191
"sweden",1952,47,8.34217561904762
"sweden",1952,48,5.96246819047619
