"age","asfr","country","cohort"
30,0.249949894,"AGO",1924
29,0.263259254133333,"AGO",1925
28,0.2750402472,"AGO",1926
27,0.2845455032,"AGO",1927
26,0.291667883866667,"AGO",1928
25,0.296940452666667,"AGO",1929
24,0.301536503466667,"AGO",1930
23,0.307269558666667,"AGO",1931
22,0.313798873466667,"AGO",1932
21,0.318629502666667,"AGO",1933
20,0.317112236133333,"AGO",1934
19,0.3024436456,"AGO",1935
18,0.2656660656,"AGO",1936
17,0.205870042533333,"AGO",1937
16,0.130194331466667,"AGO",1938
15,0.0538259125333333,"AGO",1939
50,0,"AGO",1905
49,0,"AGO",1906
48,0.00702939966666667,"AGO",1907
47,0.0151335763333333,"AGO",1908
46,0.0250319206666667,"AGO",1909
45,0.037088437,"AGO",1910
44,0.0513116933333333,"AGO",1911
43,0.067354921,"AGO",1912
42,0.0847718573333333,"AGO",1913
41,0.103016825333333,"AGO",1914
40,0.121444703,"AGO",1915
39,0.139310934,"AGO",1916
38,0.155771489,"AGO",1917
37,0.170381890333333,"AGO",1918
36,0.183097163333333,"AGO",1919
35,0.194271866333333,"AGO",1920
34,0.204660061666667,"AGO",1921
33,0.215415343,"AGO",1922
32,0.227178862666667,"AGO",1923
31,0.240079339333333,"AGO",1924
30,0.25373306,"AGO",1925
29,0.267243867666667,"AGO",1926
28,0.279203174,"AGO",1927
27,0.288852299,"AGO",1928
26,0.296082482333333,"AGO",1929
25,0.301434853333333,"AGO",1930
24,0.306100469333333,"AGO",1931
23,0.311920298333333,"AGO",1932
22,0.318548439333333,"AGO",1933
21,0.323452183333333,"AGO",1934
20,0.321911952666667,"AGO",1935
19,0.307021342,"AGO",1936
18,0.269687107,"AGO",1937
17,0.208986030666667,"AGO",1938
16,0.132164914333333,"AGO",1939
15,0.0546406056666667,"AGO",1940
50,0,"AGO",1906
49,0,"AGO",1907
48,0.0071168604,"AGO",1908
47,0.0153218704,"AGO",1909
46,0.0253433724,"AGO",1910
45,0.0375498968,"AGO",1911
44,0.0519501216,"AGO",1912
43,0.0681929612,"AGO",1913
42,0.0858266024,"AGO",1914
41,0.1042985764,"AGO",1915
40,0.1229557384,"AGO",1916
39,0.1410442616,"AGO",1917
38,0.1577096228,"AGO",1918
37,0.1725018084,"AGO",1919
36,0.1853752868,"AGO",1920
35,0.1966890272,"AGO",1921
34,0.2072064744,"AGO",1922
33,0.2180955756,"AGO",1923
32,0.2300054588,"AGO",1924
31,0.2430664444,"AGO",1925
30,0.2568900468,"AGO",1926
29,0.270568958,"AGO",1927
28,0.282677064,"AGO",1928
27,0.2924462452,"AGO",1929
26,0.299766388,"AGO",1930
25,0.3051853532,"AGO",1931
24,0.3099090208,"AGO",1932
23,0.3158012588,"AGO",1933
22,0.3225118692,"AGO",1934
21,0.3274766256,"AGO",1935
20,0.3259172324,"AGO",1936
19,0.3108413504,"AGO",1937
18,0.273042598,"AGO",1938
17,0.2115862684,"AGO",1939
16,0.1338093308,"AGO",1940
15,0.0553204524,"AGO",1941
50,0,"AGO",1907
49,0,"AGO",1908
48,0.00720070713333333,"AGO",1909
47,0.0155023838,"AGO",1910
46,0.0256419544666667,"AGO",1911
45,0.0379922879333333,"AGO",1912
44,0.0525621685333333,"AGO",1913
43,0.0689963714,"AGO",1914
42,0.0868377628,"AGO",1915
41,0.105527362466667,"AGO",1916
40,0.1244043348,"AGO",1917
39,0.142705963533333,"AGO",1918
38,0.159567668266667,"AGO",1919
37,0.174534126466667,"AGO",1920
36,0.187559272933333,"AGO",1921
35,0.199006305066667,"AGO",1922
34,0.209647663466667,"AGO",1923
33,0.220665054866667,"AGO",1924
32,0.2327152536,"AGO",1925
31,0.245930115133333,"AGO",1926
30,0.2599165796,"AGO",1927
29,0.273756647666667,"AGO",1928
28,0.286007404666667,"AGO",1929
27,0.295891681066667,"AGO",1930
26,0.303298066,"AGO",1931
25,0.308780873733333,"AGO",1932
24,0.313560194266667,"AGO",1933
23,0.3195218486,"AGO",1934
22,0.326311520733333,"AGO",1935
21,0.3313347682,"AGO",1936
20,0.329757004466667,"AGO",1937
19,0.314503507133333,"AGO",1938
18,0.276259432666667,"AGO",1939
17,0.214079058133333,"AGO",1940
16,0.135385795933333,"AGO",1941
15,0.0559722061333333,"AGO",1942
50,0,"AGO",1908
49,0,"AGO",1909
48,0.00728455386666667,"AGO",1910
47,0.0156828972,"AGO",1911
46,0.0259405365333333,"AGO",1912
45,0.0384346790666667,"AGO",1913
44,0.0531742154666667,"AGO",1914
43,0.0697997816,"AGO",1915
42,0.0878489232,"AGO",1916
41,0.106756148533333,"AGO",1917
40,0.1258529312,"AGO",1918
39,0.144367665466667,"AGO",1919
38,0.161425713733333,"AGO",1920
37,0.176566444533333,"AGO",1921
36,0.189743259066667,"AGO",1922
35,0.201323582933333,"AGO",1923
34,0.212088852533333,"AGO",1924
33,0.223234534133333,"AGO",1925
32,0.2354250484,"AGO",1926
31,0.248793785866667,"AGO",1927
30,0.2629431124,"AGO",1928
29,0.276944337333333,"AGO",1929
28,0.289337745333333,"AGO",1930
27,0.299337116933333,"AGO",1931
26,0.306829744,"AGO",1932
25,0.312376394266667,"AGO",1933
24,0.317211367733333,"AGO",1934
23,0.3232424384,"AGO",1935
22,0.330111172266667,"AGO",1936
21,0.3351929108,"AGO",1937
20,0.333596776533333,"AGO",1938
19,0.318165663866667,"AGO",1939
18,0.279476267333333,"AGO",1940
17,0.216571847866667,"AGO",1941
16,0.136962261066667,"AGO",1942
15,0.0566239598666667,"AGO",1943
50,0,"AGO",1909
49,0,"AGO",1910
48,0.0073684006,"AGO",1911
47,0.0158634106,"AGO",1912
46,0.0262391186,"AGO",1913
45,0.0388770702,"AGO",1914
44,0.0537862624,"AGO",1915
43,0.0706031918,"AGO",1916
42,0.0888600836,"AGO",1917
41,0.1079849346,"AGO",1918
40,0.1273015276,"AGO",1919
39,0.1460293674,"AGO",1920
38,0.1632837592,"AGO",1921
37,0.1785987626,"AGO",1922
36,0.1919272452,"AGO",1923
35,0.2036408608,"AGO",1924
34,0.2145300416,"AGO",1925
33,0.2258040134,"AGO",1926
32,0.2381348432,"AGO",1927
31,0.2516574566,"AGO",1928
30,0.2659696452,"AGO",1929
29,0.280132027,"AGO",1930
28,0.292668086,"AGO",1931
27,0.3027825528,"AGO",1932
26,0.310361422,"AGO",1933
25,0.3159719148,"AGO",1934
24,0.3208625412,"AGO",1935
23,0.3269630282,"AGO",1936
22,0.3339108238,"AGO",1937
21,0.3390510534,"AGO",1938
20,0.3374365486,"AGO",1939
19,0.3218278206,"AGO",1940
18,0.282693102,"AGO",1941
17,0.2190646376,"AGO",1942
16,0.1385387262,"AGO",1943
15,0.0572757136,"AGO",1944
50,0,"AGO",1910
49,0,"AGO",1911
48,0.00745224733333333,"AGO",1912
47,0.016043924,"AGO",1913
46,0.0265377006666667,"AGO",1914
45,0.0393194613333333,"AGO",1915
44,0.0543983093333333,"AGO",1916
43,0.071406602,"AGO",1917
42,0.089871244,"AGO",1918
41,0.109213720666667,"AGO",1919
40,0.128750124,"AGO",1920
39,0.147691069333333,"AGO",1921
38,0.165141804666667,"AGO",1922
37,0.180631080666667,"AGO",1923
36,0.194111231333333,"AGO",1924
35,0.205958138666667,"AGO",1925
34,0.216971230666667,"AGO",1926
33,0.228373492666667,"AGO",1927
32,0.240844638,"AGO",1928
31,0.254521127333333,"AGO",1929
30,0.268996178,"AGO",1930
29,0.283319716666667,"AGO",1931
28,0.295998426666667,"AGO",1932
27,0.306227988666667,"AGO",1933
26,0.3138931,"AGO",1934
25,0.319567435333333,"AGO",1935
24,0.324513714666667,"AGO",1936
23,0.330683618,"AGO",1937
22,0.337710475333333,"AGO",1938
21,0.342909196,"AGO",1939
20,0.341276320666667,"AGO",1940
19,0.325489977333333,"AGO",1941
18,0.285909936666667,"AGO",1942
17,0.221557427333333,"AGO",1943
16,0.140115191333333,"AGO",1944
15,0.0579274673333333,"AGO",1945
50,0,"AGO",1911
49,0,"AGO",1912
48,0.00753609406666667,"AGO",1913
47,0.0162244374,"AGO",1914
46,0.0268362827333333,"AGO",1915
45,0.0397618524666667,"AGO",1916
44,0.0550103562666667,"AGO",1917
43,0.0722100122,"AGO",1918
42,0.0908824044,"AGO",1919
41,0.110442508,"AGO",1920
40,0.130198719133333,"AGO",1921
39,0.149352772533333,"AGO",1922
38,0.166999850133333,"AGO",1923
37,0.182663398733333,"AGO",1924
36,0.196295218733333,"AGO",1925
35,0.2082754178,"AGO",1926
34,0.219412419733333,"AGO",1927
33,0.230942970666667,"AGO",1928
32,0.243554431533333,"AGO",1929
31,0.257384799333333,"AGO",1930
30,0.2720227108,"AGO",1931
29,0.286507406333333,"AGO",1932
28,0.299328767333333,"AGO",1933
27,0.309673424533333,"AGO",1934
26,0.317424778,"AGO",1935
25,0.323162957133333,"AGO",1936
24,0.328164886866667,"AGO",1937
23,0.334404209066667,"AGO",1938
22,0.341510128133333,"AGO",1939
21,0.346767339866667,"AGO",1940
20,0.345116092733333,"AGO",1941
19,0.329152135333333,"AGO",1942
18,0.289126770066667,"AGO",1943
17,0.2240502158,"AGO",1944
16,0.141691656466667,"AGO",1945
15,0.0585792223333333,"AGO",1946
50,0,"AGO",1912
49,0,"AGO",1913
48,0.0076199408,"AGO",1914
47,0.0164049508,"AGO",1915
46,0.0271348648,"AGO",1916
45,0.0402042436,"AGO",1917
44,0.0556224032,"AGO",1918
43,0.0730134224,"AGO",1919
42,0.0918935648,"AGO",1920
41,0.111671296,"AGO",1921
40,0.1316473136,"AGO",1922
39,0.1510144764,"AGO",1923
38,0.1688578956,"AGO",1924
37,0.1846957168,"AGO",1925
36,0.1984792068,"AGO",1926
35,0.2105926976,"AGO",1927
34,0.2218536088,"AGO",1928
33,0.233512448,"AGO",1929
32,0.2462642244,"AGO",1930
31,0.260248472,"AGO",1931
30,0.2750492436,"AGO",1932
29,0.289695096,"AGO",1933
28,0.302659108,"AGO",1934
27,0.3131188604,"AGO",1935
26,0.320956456,"AGO",1936
25,0.3267584796,"AGO",1937
24,0.3318160584,"AGO",1938
23,0.3381248008,"AGO",1939
22,0.3453097816,"AGO",1940
21,0.3506254844,"AGO",1941
20,0.3489558648,"AGO",1942
19,0.332814294,"AGO",1943
18,0.2923436028,"AGO",1944
17,0.2265430036,"AGO",1945
16,0.1432681216,"AGO",1946
15,0.059230978,"AGO",1947
50,0,"AGO",1913
49,0,"AGO",1914
48,0.00770378753333333,"AGO",1915
47,0.0165854642,"AGO",1916
46,0.0274334468666667,"AGO",1917
45,0.0406466347333333,"AGO",1918
44,0.0562344501333333,"AGO",1919
43,0.0738168326,"AGO",1920
42,0.0929047252,"AGO",1921
41,0.112900084,"AGO",1922
40,0.133095908066667,"AGO",1923
39,0.152676180266667,"AGO",1924
38,0.170715941066667,"AGO",1925
37,0.186728034866667,"AGO",1926
36,0.200663194866667,"AGO",1927
35,0.2129099774,"AGO",1928
34,0.224294797866667,"AGO",1929
33,0.236081925333333,"AGO",1930
32,0.248974017266667,"AGO",1931
31,0.263112144666667,"AGO",1932
30,0.2780757764,"AGO",1933
29,0.292882785666667,"AGO",1934
28,0.305989448666667,"AGO",1935
27,0.316564296266667,"AGO",1936
26,0.324488134,"AGO",1937
25,0.330354002066667,"AGO",1938
24,0.335467229933333,"AGO",1939
23,0.341845392533333,"AGO",1940
22,0.349109435066667,"AGO",1941
21,0.354483628933333,"AGO",1942
20,0.352795636866667,"AGO",1943
19,0.336476452666667,"AGO",1944
